sale_id,full_name,email,gender,state,pay_method,pay_amount
1,Culver Winthrop,cwinthrop0@lulu.com,Male,District of Columbia,diners-club-us-ca,45.18
2,Alice Brackley,abrackley1@ca.gov,Female,Maryland,visa-electron,32.22
3,Thaxter Tedorenko,ttedorenko2@dyndns.org,Male,West Virginia,americanexpress,44.78
4,Ardelle Swidenbank,aswidenbank3@unblog.fr,Female,Missouri,mastercard,51.33
5,Patrice Rawlinson,prawlinson4@instagram.com,Female,Virginia,jcb,5.61
6,Gard Peerman,gpeerman5@wired.com,Male,Utah,jcb,12.79
7,Rachael Loddy,rloddy6@t-online.de,Female,Massachusetts,jcb,66.39
8,Alana Leisk,aleisk7@nature.com,Female,New York,jcb,91.92
9,Paulo Collyns,pcollyns8@google.co.uk,Male,New York,maestro,19.74
10,Donall McDonald,dmcdonald9@ask.com,Male,Virginia,jcb,57.73
11,Ondrea Izhakov,oizhakova@amazonaws.com,Female,California,china-unionpay,32.65
12,Merrielle Dawson,mdawsonb@utexas.edu,Female,Wisconsin,mastercard,44.38
13,Bond Fulker,bfulkerc@boston.com,Male,Alabama,visa-electron,79.27
14,Desi Tranckle,dtranckled@admin.ch,Male,New York,diners-club-enroute,81.36
15,Marie-jeanne Colliar,mcolliare@symantec.com,Female,Kansas,jcb,93.56
16,Cort Stuehmeier,cstuehmeierf@google.fr,Male,North Carolina,jcb,50.5
17,Barnabe Dearell,bdearellg@slashdot.org,Male,Wisconsin,jcb,89.31
18,Virgilio Hanscomb,vhanscombh@dot.gov,Male,Florida,maestro,14.61
19,Cammy Faughnan,cfaughnani@businesswire.com,Male,Oklahoma,diners-club-enroute,52.6
20,Derron Landrick,dlandrickj@china.com.cn,Male,North Carolina,diners-club-carte-blanche,48.53
21,Sylas Attwooll,sattwoollk@mayoclinic.com,Male,Louisiana,jcb,66.94
22,Jammal Tilsley,jtilsleyl@telegraph.co.uk,Male,Minnesota,jcb,61.44
23,Artemis Zannutti,azannuttim@lulu.com,Male,Florida,jcb,22.24
24,Averyl MacCague,amaccaguen@nih.gov,Female,Colorado,diners-club-carte-blanche,94.98
25,Ewart Grealy,egrealyo@bravesites.com,Male,Texas,maestro,94.77
26,Maegan Towsey,mtowseyp@vimeo.com,Female,Ohio,diners-club-us-ca,77.78
27,Wilhelmina Flatley,wflatleyq@miibeian.gov.cn,Female,Kansas,bankcard,90.17
28,Christine Zipsell,czipsellr@360.cn,Female,Utah,diners-club-carte-blanche,89.34
29,Pam Rubanenko,prubanenkos@wisc.edu,Female,Florida,visa-electron,39.46
30,Colan Fearne,cfearnet@pagesperso-orange.fr,Male,New York,instapayment,27.43
31,Johann Aldridge,jaldridgeu@examiner.com,Male,Ohio,visa-electron,93.57
32,Franciska Veryan,fveryanv@prweb.com,Female,Illinois,mastercard,32.12
33,Jeremiah Freyn,jfreynw@nps.gov,Male,Arizona,jcb,57.77
34,Rossie Gounel,rgounelx@illinois.edu,Male,Virginia,maestro,99.38
35,Roxane Hessle,rhessley@wix.com,Female,Ohio,switch,28.48
36,Imelda Crutchfield,icrutchfieldz@yahoo.co.jp,Female,California,jcb,92.94
37,Portie Wardesworth,pwardesworth10@trellian.com,Male,Florida,jcb,30.29
38,Christian Valadez,cvaladez11@pen.io,Male,Ohio,solo,58.88
39,Bianca Colborn,bcolborn12@intel.com,Female,California,bankcard,37.55
40,Trisha D'Agostino,tdagostino13@alexa.com,Female,Wisconsin,bankcard,65.68
41,Binnie Gedge,bgedge14@fastcompany.com,Female,Alaska,jcb,71.42
