sale_id,full_name,email,gender,state,pay_method,pay_amount
1,Jaquelyn Meuse,jmeuse0@redcross.org,Female,Virginia,laser,69.91
2,Dorrie McTrustey,dmctrustey1@taobao.com,Female,Georgia,maestro,13.85
3,Fina Lehmann,flehmann2@vk.com,Female,Rhode Island,jcb,28.09
4,Russell O'Dea,rodea3@ft.com,Male,Texas,bankcard,32.8
5,Lennie Barrim,lbarrim4@ezinearticles.com,Male,California,mastercard,88.12
6,Giorgi Arling,garling5@google.es,Male,Florida,jcb,5.14
7,Gaby Duffield,gduffield6@tumblr.com,Female,Connecticut,diners-club-enroute,57.34
8,Delilah Conlon,dconlon7@europa.eu,Female,North Carolina,jcb,39.22
9,Lemmy Trunby,ltrunby8@tripod.com,Male,Connecticut,jcb,84.17
10,Clem Beardshall,cbeardshall9@blogtalkradio.com,Male,Pennsylvania,jcb,85.01
11,Arluene Dundon,adundona@boston.com,Female,California,solo,89.78
12,Ignace Knight,iknightb@sohu.com,Male,California,jcb,37.34
13,Elmore Verick,everickc@com.com,Male,California,americanexpress,71.48
14,Liam Youster,lyousterd@earthlink.net,Male,Louisiana,switch,39.6
15,Zach Ellwood,zellwoode@shop-pro.jp,Male,Iowa,diners-club-us-ca,73.4
16,Clement Blaw,cblawf@symantec.com,Male,Missouri,mastercard,18.11
17,Chris Ades,cadesg@eepurl.com,Male,Pennsylvania,mastercard,25.41
18,Marv Ludlom,mludlomh@webnode.com,Male,Texas,switch,15.49
19,Matilde Yemm,myemmi@spiegel.de,Female,Idaho,maestro,10.37
20,Audy Sange,asangej@google.co.uk,Female,Michigan,visa-electron,78.07
21,Shandee Seemmonds,sseemmondsk@europa.eu,Female,Nevada,switch,76.33
22,Vale Layne,vlaynel@apple.com,Male,Nebraska,mastercard,86.38
23,Sandra Tumini,stuminim@vistaprint.com,Female,Georgia,diners-club-international,95.83
24,Myrilla Dewerson,mdewersonn@flickr.com,Female,Indiana,jcb,26.81
25,Terence Pendlebery,tpendleberyo@alibaba.com,Male,California,diners-club-enroute,52.08
26,Deva Cordier,dcordierp@ox.ac.uk,Female,Pennsylvania,jcb,70.75
27,Paulina Anstead,pansteadq@bloomberg.com,Female,Texas,jcb,44.77
28,Vinnie Lghan,vlghanr@bbb.org,Male,Florida,instapayment,56.95
29,Dewie Manhood,dmanhoods@marriott.com,Male,Nebraska,laser,96.63
30,Darla Ivancevic,divancevict@technorati.com,Female,Georgia,jcb,85.73
31,Gertie Ubank,gubanku@com.com,Female,Connecticut,switch,8.3
32,Marga Robbs,mrobbsv@myspace.com,Female,Illinois,jcb,49.88
33,Jarrid Martelet,jmarteletw@ehow.com,Male,Florida,bankcard,26.21
34,Cyrus Malham,cmalhamx@scribd.com,Male,Texas,mastercard,41.6
35,Sherline Willard,swillardy@ameblo.jp,Female,North Carolina,switch,46.06
36,Leone Tebbet,ltebbetz@hibu.com,Female,Colorado,jcb,56.03
37,Galina Caghan,gcaghan10@bizjournals.com,Female,Ohio,jcb,61.53
38,Chen Loomes,cloomes11@dedecms.com,Male,North Carolina,diners-club-enroute,30.76
39,Son Kleanthous,skleanthous12@list-manage.com,Male,Minnesota,visa-electron,66.53
40,Kendell Olyff,kolyff13@t.co,Male,Texas,diners-club-carte-blanche,43.48
41,Melisse Bussons,mbussons14@washington.edu,Female,Florida,jcb,33.5
42,Aleta Ackers,aackers15@blogger.com,Female,North Carolina,diners-club-carte-blanche,4.48
43,Giselbert Gilfillan,ggilfillan16@yahoo.co.jp,Male,New Jersey,americanexpress,21.64
44,Arlina Pochet,apochet17@latimes.com,Female,Missouri,maestro,32.72
45,Wyn Ogglebie,wogglebie18@shareasale.com,Male,Louisiana,jcb,53.7
46,Dasie Grocott,dgrocott19@timesonline.co.uk,Female,Louisiana,jcb,27.28
47,Muhammad Jennemann,mjennemann1a@abc.net.au,Male,Illinois,diners-club-enroute,97.25
48,Vonni Shilito,vshilito1b@people.com.cn,Female,Nevada,laser,39.38
49,Lark Swatland,lswatland1c@chicagotribune.com,Female,California,jcb,81.02
50,Orson Earsman,oearsman1d@lulu.com,Male,Wisconsin,diners-club-enroute,19.11
51,Alfred Szapiro,aszapiro1e@pinterest.com,Male,New York,diners-club-carte-blanche,17.06
52,Enos Counihan,ecounihan1f@foxnews.com,Male,California,maestro,53.54
53,Darby Minard,dminard1g@example.com,Male,Texas,bankcard,87.37
54,Pammie Seally,pseally1h@berkeley.edu,Female,New Jersey,maestro,88.17
55,Merlina Massel,mmassel1i@slideshare.net,Female,California,jcb,81.28
56,Brent Mallabone,bmallabone1j@storify.com,Male,New York,jcb,21.75
57,Lexine Capstake,lcapstake1k@adobe.com,Female,Oregon,bankcard,82.86
58,Gerome Fouracre,gfouracre1l@godaddy.com,Male,Georgia,maestro,96.1
59,Pooh Covelle,pcovelle1m@over-blog.com,Male,North Carolina,jcb,32.39
60,Candi Ennals,cennals1n@discovery.com,Female,Georgia,jcb,36.38
61,Wolfie Bletcher,wbletcher1o@youku.com,Male,North Carolina,visa-electron,84.02
62,Hebert Taplin,htaplin1p@dedecms.com,Male,District of Columbia,mastercard,34.26
63,Ema Dismore,edismore1q@sourceforge.net,Female,Colorado,jcb,47.05
64,Erminie Crump,ecrump1r@goodreads.com,Female,North Dakota,diners-club-carte-blanche,16.63
65,Rad Jaqueminet,rjaqueminet1s@dagondesign.com,Male,South Dakota,jcb,20.06
66,Dix Goodlip,dgoodlip1t@slate.com,Female,New York,visa-electron,96.13
